Date,Open,High,Low,Close,Volume,Adj Close
10/18/1983,43.25,43.38,42.25,42.5,1211200,2.87
10/17/1983,43.13,43.63,43,43.25,540800,2.9
10/14/1983,43.25,43.25,42.75,43.13,1068000,2.89
10/13/1983,43,43.25,42.63,43.25,2435200,2.9
10/12/1983,43,43.25,42.63,43,666400,2.88
10/11/1983,44,44,42.88,43,1013600,2.88
10/10/1983,44.25,44.25,43.75,44.25,652000,2.96
10/7/1983,45.13,45.63,44.5,44.63,1913600,2.99
10/6/1983,44.25,45.13,44.25,45.13,1780000,3.02
10/5/1983,43.63,44.25,43.38,44.25,1250400,2.96
10/4/1983,43.63,43.88,43.38,43.63,731200,2.92
10/3/1983,43.63,43.63,43,43.63,966400,2.92
9/30/1983,43.75,43.88,43.25,43.63,507200,2.92
9/29/1983,44.13,44.38,43.5,43.75,489600,2.93
9/28/1983,44.63,44.63,43.88,44.13,1558400,2.96
9/27/1983,45.88,46,44.75,45,2679200,3.01
9/26/1983,45.63,46.25,45.25,45.88,2567200,3.07
9/23/1983,45.5,46,44.13,45.63,3642400,3.06
9/22/1983,44.75,45.88,44.63,45.5,3552000,3.05
9/21/1983,44.75,45,44.13,44.75,1468000,3
9/20/1983,44.38,45.13,44.38,44.75,1483200,3
9/19/1983,43.25,44.5,43.13,44.13,1609600,2.96
9/16/1983,42,43.63,42,43.25,1229600,2.9
9/15/1983,41.63,42.25,41.63,41.88,819200,2.8
9/14/1983,41.5,42,41.5,41.63,1027200,2.79
9/13/1983,42,42.13,41.5,41.5,1156000,2.78
9/12/1983,41.75,43.5,41.75,42,2544000,2.81
9/9/1983,41.5,44.63,41.13,41.5,854400,2.78
9/8/1983,40.25,41.5,40,41.5,1746400,2.78
9/7/1983,40.13,40.88,40.13,40.25,3188000,2.7
9/6/1983,40,40.75,39.75,40,4553600,2.68
9/2/1983,39.88,40.13,39.38,40,1672000,2.68
9/1/1983,39.25,39.88,39.25,39.88,1744000,2.67
8/31/1983,38.88,39.38,38.5,39.25,1397600,2.63
8/30/1983,39.38,39.5,38.5,38.88,4498400,2.6
8/29/1983,39.75,39.75,38.5,39.38,2115200,2.64
8/26/1983,40,40,39.38,39.88,2066400,2.67
8/25/1983,40.13,40.63,39.63,40,3384800,2.68
8/24/1983,40.13,40.88,39.88,40.13,2568800,2.69
8/23/1983,39.63,40.63,39.63,40.13,2944800,2.69
8/22/1983,38.63,39.63,38.63,39.63,4096800,2.65
8/19/1983,37.5,38,37.38,37.5,2955200,2.51
8/18/1983,37.88,38,37.38,37.5,3856000,2.51
8/17/1983,38.25,38.63,37.63,37.88,3980800,2.54
8/16/1983,39,39,38.25,38.25,6952800,2.56
8/15/1983,40.25,41.63,39.88,40,4734400,2.68
